date,price_index
01/01/2008,1.03
02/01/2008,1.02
03/01/2008,1.1
04/01/2008,1.11
05/01/2008,1.04
06/01/2008,1.07
07/01/2008,1.1
08/01/2008,1.12
09/01/2008,1.13
10/01/2008,1.16
11/01/2008,1.11
12/01/2008,1.07
13/01/2008,1.04
14/01/2008,1.01
15/01/2008,1.1
16/01/2008,1.06
17/01/2008,1.16
18/01/2008,1.15
19/01/2008,1.1
20/01/2008,1.02
21/01/2008,0.99
22/01/2008,0.96
23/01/2008,0.94
24/01/2008,1.05
25/01/2008,1.05
26/01/2008,1.11
27/01/2008,1.11
28/01/2008,1.09
29/01/2008,1.02
30/01/2008,0.99
31/01/2008,1.04
01/02/2008,1.0
02/02/2008,0.98
03/02/2008,0.92
04/02/2008,1.0
05/02/2008,0.94
06/02/2008,0.89
07/02/2008,0.91
08/02/2008,0.93
09/02/2008,0.93
10/02/2008,1.02
11/02/2008,0.98
12/02/2008,0.96
13/02/2008,1.06
14/02/2008,1.11
15/02/2008,1.03
16/02/2008,1.01
17/02/2008,1.03
18/02/2008,1.0
19/02/2008,0.96
20/02/2008,1.07
21/02/2008,1.01
22/02/2008,0.98
23/02/2008,1.11
24/02/2008,1.15
25/02/2008,1.24
26/02/2008,1.2
27/02/2008,1.22
28/02/2008,1.08
29/02/2008,1.08
01/03/2008,1.08
02/03/2008,1.08
03/03/2008,1.03
04/03/2008,1.03
05/03/2008,1.02
06/03/2008,1.04
07/03/2008,1.09
08/03/2008,1.12
09/03/2008,1.1
10/03/2008,1.13
11/03/2008,1.11
12/03/2008,1.21
13/03/2008,1.21
14/03/2008,1.15
15/03/2008,1.21
16/03/2008,1.15
17/03/2008,1.22
18/03/2008,1.19
19/03/2008,1.37
20/03/2008,1.24
21/03/2008,1.16
22/03/2008,1.21
23/03/2008,1.25
24/03/2008,1.27
25/03/2008,1.34
26/03/2008,1.29
27/03/2008,1.24
28/03/2008,1.3
29/03/2008,1.23
30/03/2008,1.26
31/03/2008,1.25
01/04/2008,1.28
02/04/2008,1.31
03/04/2008,1.33
04/04/2008,1.31
05/04/2008,1.27
06/04/2008,1.3
07/04/2008,1.34
08/04/2008,1.31
09/04/2008,1.29
10/04/2008,1.35
11/04/2008,1.29
12/04/2008,1.27
13/04/2008,1.33
14/04/2008,1.35
15/04/2008,1.35
16/04/2008,1.48
17/04/2008,1.49
18/04/2008,1.38
19/04/2008,1.38
20/04/2008,1.3
21/04/2008,1.13
22/04/2008,1.15
23/04/2008,1.13
24/04/2008,1.18
25/04/2008,1.16
26/04/2008,1.16
27/04/2008,1.11
28/04/2008,1.15
29/04/2008,1.22
30/04/2008,1.26
01/05/2008,1.36
02/05/2008,1.38
03/05/2008,1.35
04/05/2008,1.29
05/05/2008,1.24
06/05/2008,1.29
07/05/2008,1.38
08/05/2008,1.43
09/05/2008,1.46
10/05/2008,1.53
11/05/2008,1.53
12/05/2008,1.41
13/05/2008,1.41
14/05/2008,1.4
15/05/2008,1.38
16/05/2008,1.32
17/05/2008,1.31
18/05/2008,1.21
19/05/2008,1.29
20/05/2008,1.26
21/05/2008,1.25
22/05/2008,1.16
23/05/2008,1.04
